date,app_version,1. How helpful did you find the recommendations from the Disney Genie My Day feature?,2. How many of the recommended experiences from Disney Genie service did you do (regardless of time)?,3. Did you try experiences at the times recommended by Disney Genie service?,4. Did you try any experience for the first time because Disney Genie service recommended it?,"5. Did Disney Genie service recommend the attractions and entertainment that you chose in ""My Top Picks""?",6. How often do you visit a Disney theme park?: I'm a first-time visitor.,6. How often do you visit a Disney theme park?: I visit every now and then.,6. How often do you visit a Disney theme park?: I visit frequently.,6. How often do you visit a Disney theme park?: I'm a Magic Key Pass holder.,os_name,os_version,os_api_level,manufacturer,model,locale_country_code,locale_language_code,carrier,email,name,ADBVisitorID,swid,conversation_id
2022-06-29 00:44:52 UTC,7.9,Not helpful,I did one or two of my recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","No, it didn’t include any of My Top Picks.",I'm a first-time visitor.,"","","",iOS,15.4.1,,,iPhone 11,US,en,<null>|AT&T,,,08819280717520370507588923961928095148,{4AC2F0E6-0429-42EE-931E-868436434D53},62a1003756984b6a4403a9b0
2022-06-29 00:47:32 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Max,US,en,<null>|Verizon,,,37533358480782315876525894196120418797,{7EDA1C9D-5468-438E-9A1C-9D5468438E08},62a807553ab7be668d04cb5c
2022-06-29 00:48:25 UTC,7.9,Somewhat helpful,I did one or two of my recommended experiences.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 13 Pro Max,VU,en,<null>|Xfinity Mobile,,,84519960053442332435533887588538185157,{FF4EC421-A2FF-4185-AB04-FD4A2992843F},623ccdbe6908df76650c1dd9
2022-06-29 00:48:45 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"","","",I'm a Magic Key Pass holder.,iOS,15.5,,,iPhone 11,US,en,<null>|AT&T,,,13509489723871168045401732499831243908,{76A591E4-06E4-4F73-8E86-42D987DF129C},5f749ad2ea5df505240b93ce
2022-06-29 00:50:41 UTC,7.9,Very helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|T-Mobile,,,26922138532607620278637968685313708927,{91F673E2-EF2F-4949-8B95-30174651CA4D},61b3ae75b62e256ac30408c0
2022-06-29 00:50:44 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone XR,US,en,<null>|AT&T,,,88874066508476762109165787847454878860,{400AC143-9392-45E8-BA9B-B9B0F446A068},62b65ff14a069f46bb3d9ede
2022-06-29 00:53:00 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 13 Pro,US,en,<null>|Verizon,,,65006296318797896266325901172215584189,{E98F81DE-9C84-4679-9991-26BB5F4E7AE4},625f4f387e5dad74c612d9e7
2022-06-29 00:53:12 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 11,US,en,<null>|Verizon,,,85901655302308303865190725195481578900,{0A20F4B4-6E55-4889-A5B5-8DF1F90A4AC9},60f8637e4c09306f670982d0
2022-06-29 00:54:06 UTC,7.9,Somewhat helpful,I did one or two of my recommended experiences.,I mostly stuck to the times recommended for each experience.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, but it included only one or two of My Top  Picks.","","",I visit frequently.,"",iOS,15.6,,,iPhone 11 Pro Max,US,en,<null>|Verizon,,,45733077059553844174287244156394847489,{23FE682E-FF9B-4AA0-83AF-63F99454BD23},629a506f088dfc744402567e
2022-06-29 00:57:58 UTC,7.8,Very helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included some but not all of My Top  Picks.",I'm a first-time visitor.,"","","",iPadOS,15.5,,,iPhone XR,CA,en,,,,70530032785542815677605676063613990533,{42E1A447-7B13-4F95-A24C-114F0B0A00A3},5f59bc84a6d06e633408ac84
2022-06-29 00:58:09 UTC,7.9,Somewhat helpful,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,"No, I didn't follow any recommendations from Disney Genie service.",I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|AT&T,,,81002024925810068787808014283628336264,{3CC2C9D5-FFCB-4B7B-815B-06D53D35E29F},62b93e130605eb41024c2e13
2022-06-29 01:09:45 UTC,7.4,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"","",I visit frequently.,"",iOS,15.5,,,iPhone XR,US,en,<null>|AT&T,,,08160843265815974903861099868819582247,{9D84D5AD-0703-4988-AD80-B83072FAF28A},60cb6d4f17c6b569ec035aa8
2022-06-29 01:11:30 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,I visit frequently.,"",iOS,15.5,,,iPhone 6s Plus,US,en,<null>|AT&T,,,49207955643402788613766048287207496778,{131173E6-21D2-484C-9173-E621D2F84C02},60b108175b5e9d6b2118f3a6
2022-06-29 01:11:54 UTC,7.9,Somewhat helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 13 Pro,US,en,<null>|Verizon,,,70980935368900811585125128934452054813,{171C3E8B-C27C-4810-8D6B-5B1DA9D7EA02},62b0e8df3e62f632b20a3c8c
2022-06-29 01:12:17 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,"Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Max,US,en,<null>|T-Mobile,,,40319993667796800237526371413990524065,{109C9E66-0B36-4A0B-958A-1BFA759A301B},62ab9e484e3fba65d800a2c2
2022-06-29 01:13:04 UTC,7.9,Not helpful,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone XR,US,en,<null>|AT&T,,,16149954586799822855605814148541805060,{E8536D41-857F-4D5A-936D-41857F9D5A30},629d1b73a39faf6a2f07f0b6
2022-06-29 01:13:21 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 8 Plus,US,en,<null>|T-Mobile,,,48811373430054305143399330846296126794,{BF58C3CF-7FBD-4514-B5DD-DA8AA13C871C},5e599a4dbb2693085a6b3554
2022-06-29 01:17:19 UTC,7.9,Very helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 11 Pro,MX,en,<null>|Telcel,,,31620461493490353297315219611494937810,{5C9B3AF2-466D-4C31-8092-E69C5DED5913},62bb354949f1116939014218
2022-06-29 01:20:18 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.",I did not use Disney Genie My Day  recommendations.,"",I visit every now and then.,"","",iOS,15.5,,,iPhone 13,US,en,<null>|Verizon,,,37230987219821979179177405394487057696,{1B51B986-38EE-4B99-8560-F6823102251E},62658a23e06039716106b15b
2022-06-29 01:22:08 UTC,7.9,Somewhat helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Max,US,en,<null>|Verizon,,,30791036575980779298833982169573192230,{28F57EAE-49A1-47B5-81AF-69C7B9EFC91B},624a44581debbd71e31dce3b
2022-06-29 01:22:47 UTC,7.9,I did not use Disney Genie My Day recommendations.,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day recommendations.,I did not use Disney Genie My Day  recommendations.,I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Pro Max,US,en,<null>|AT&T,,,53191103892192795088538119880787977766,{B06076E2-6FF4-437E-8DB9-706AB79B6AA7},62a91e61b629b267c9002a0e
2022-06-29 01:28:15 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 12 Max,US,en,<null>|T-Mobile,,,89308577816875313855336545159129583608,{5A26B42C-6CC5-4500-9C9C-A714BAB87B87},62ba9e8523aa6553ecc62b62
2022-06-29 01:28:16 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,I did not use Disney Genie My Day recommendations.,"Yes, it included all or most of My Top Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|Verizon,,,33490868169596129898014275223085079809,{F37FCFE0-4448-475E-B663-E839C599756B},62ad033e4a069f1fd7079076
2022-06-29 01:29:52 UTC,7.9,Very helpful,I didn't follow the recommended experiences at all.,I occasionally followed the time recommendations.,"No, I didn't follow any recommendations from Disney Genie service.",I did not use Disney Genie My Day  recommendations.,"","",I visit frequently.,"",iOS,15.5,,,iPhone X,US,en,<null>|AT&T,,,67425521269435259232233357274504519999,{F489C053-51C5-4E24-89C0-5351C56E24E4},5e5ab8624142150214144170
2022-06-29 01:33:36 UTC,7.9,Somewhat helpful,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,"No, I didn't follow any recommendations from Disney Genie service.",I did not use Disney Genie My Day  recommendations.,I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 8,US,en,Verizon,,,83893623534218942506728862449882601231,{97A4B8C8-18DE-4378-A4B8-C818DE93781F},62b2d8e64a069f4a40463e94
